Input.text1,Input.text2,Answer.semantic-similarity.label,Input.run_type,Input.dataset,Answer.semantic-similarity.label,Input.run_type,Input.dataset,Title,Description
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Disagree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Not sure,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Strongly Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
 clooney directs this film always keeping the balance between the fantastic and the believable, clooney directs this film ever remained the counterbalance between the unbelievable and the believable,Agree,jin,movie_review,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,,,
