Input.text,Answer.sentiment.label,Input.original,Title,Description
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Real,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline ,Computer-altered,TRUE,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
